Gene,Non-unique Gene name,Annotation,L_plantarum,B_animalis,L_brevis
mraZ,mraZ,Transcriptional regulator MraZ,JLGHJK_02642,IGABOM_01843,
group_3330,,Aspartyl-tRNA amidotransferase subunit B,JLGHJK_02356,IGABOM_01662,
group_3329,fabZ,3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ,JLGHJK_02049,IGABOM_01393,
group_3328,,Large ribosomal subunit protein uL13,JLGHJK_01495,IGABOM_00915,
group_3327,,Fur family transcriptional regulator,JLGHJK_01293,IGABOM_00742,
group_3326,,GNAT family N-acetyltransferase,JLGHJK_00819,IGABOM_00175,
group_3325,,Small heat shock protein,JLGHJK_00346,IGABOM_02839,
group_3324,,hypothetical protein,JLGHJK_00233,IGABOM_02737,
group_3323,,HTH merR-type domain-containing protein,JLGHJK_00124,IGABOM_02557,
group_3317,,Flavodoxin,JLGHJK_03223,IGABOM_02370,
group_3314,,D-aminoacyl-tRNA deacylase,JLGHJK_02370,IGABOM_01675,
group_3313,,N-acetyltransferase domain-containing protein,JLGHJK_01767,IGABOM_01157,
group_3312,,PTS system cellobiose-specific EIIA component,JLGHJK_00118,IGABOM_02552,
group_3306,,VOC domain-containing protein,JLGHJK_02997,IGABOM_02166,
group_3305,marR,MarR family transcriptional regulator,JLGHJK_02310,IGABOM_01609,
group_3304,,Lipoprotein signal peptidase,JLGHJK_02165,IGABOM_01491,
group_3303,,Mannitol-specific phosphotransferase enzyme IIA component,JLGHJK_00744,IGABOM_00115,
group_3302,,ASCH domain-containing protein,JLGHJK_00604,IGABOM_03129,
group_3293,,Phage tail protein,JLGHJK_02257,IGABOM_01567,
group_3292,,DUF3290 domain-containing protein,JLGHJK_01176,IGABOM_00648,
group_3279,marR,Transcriptional regulator MarR family,JLGHJK_03230,IGABOM_02376,
group_3278,,hypothetical protein,JLGHJK_01941,IGABOM_01296,
group_3277,,hypothetical protein,JLGHJK_01123,IGABOM_00605,
group_3276,,Nucleoside 2-deoxyribosyltransferase,JLGHJK_00663,IGABOM_03183,
group_3261,,UPF0756 membrane protein lp_1894,JLGHJK_02280,IGABOM_01586,
group_3260,uspA,UspA domain-containing protein,JLGHJK_02086,IGABOM_01426,
group_3259,,Alkaline shock protein,JLGHJK_01971,IGABOM_01327,
thrE,thrE,Threonine/Serine exporter ThrE domain-containing protein,JLGHJK_01424,IGABOM_00851,
group_3258,,hypothetical protein,JLGHJK_01024,IGABOM_00383,
group_3257,,GNAT family N-acetyltransferase,JLGHJK_00350,IGABOM_02843,
group_3246,,Universal stress protein,JLGHJK_03089,IGABOM_02248,
group_3245,,GAF domain-containing protein,JLGHJK_02788,IGABOM_01974,
group_3244,merR,Transcription regulator MerR family,JLGHJK_02723,IGABOM_01918,
group_3243,,Biotin carboxyl carrier protein of acetyl-CoA carboxylase,JLGHJK_02055,IGABOM_01399,
group_3241,,Arginine regulator,JLGHJK_01789,IGABOM_01175,
group_3240,tsaE,tRNA threonylcarbamoyladenosine biosynthesis protein TsaE,JLGHJK_01222,IGABOM_00690,
group_3239,uspA,UspA domain-containing protein,JLGHJK_00522,IGABOM_03046,
group_3238,,Membrane protein,JLGHJK_00380,IGABOM_02866,
group_3227,,HTH merR-type domain-containing protein,JLGHJK_01419,IGABOM_00846,
group_3215,,PTS EIIB type-4 domain-containing protein,JLGHJK_02799,IGABOM_01984,
group_3214,,N-acetyltransferase domain-containing protein,JLGHJK_02332,IGABOM_01642,
nifU,nifU,NIF system FeS cluster assembly NifU N-terminal domain-containing protein,JLGHJK_01850,IGABOM_01242,
ctsR,ctsR,Transcriptional regulator CtsR,JLGHJK_01444,IGABOM_00869,
group_3212,,ASCH domain-containing protein,JLGHJK_00828,IGABOM_00187,
group_3202,,Conjugal transfer protein,JLGHJK_03460,,PHDJFC_02963
group_3201,,Universal stress protein,JLGHJK_03177,IGABOM_02327,
group_3200,,Alcohol dehydrogenase,JLGHJK_02023,IGABOM_01372,
group_3199,,DUF3284 domain-containing protein,JLGHJK_01776,IGABOM_01163,
group_3198,,SsrA-binding protein,JLGHJK_01208,IGABOM_00681,
group_3197,,Transcription regulator,JLGHJK_00869,IGABOM_00225,
group_3196,greA,Transcription elongation factor GreA,JLGHJK_00735,IGABOM_00104,
group_3195,,hypothetical protein,JLGHJK_00645,IGABOM_03166,
group_3193,,DUF1836 domain-containing protein,JLGHJK_00372,IGABOM_02859,
group_3177,,hypothetical protein,JLGHJK_03179,IGABOM_02330,
group_3176,,Phage terminase small subunit P27 family,JLGHJK_02933,IGABOM_02114,
group_3175,marR,MarR family transcriptional regulator,JLGHJK_01387,IGABOM_00817,
group_3173,,hypothetical protein,JLGHJK_01288,IGABOM_00737,
group_3172,,N-acetyltransferase domain-containing protein,JLGHJK_00426,IGABOM_02903,
group_3171,,Nucleoside deoxyribosyltransferase,JLGHJK_00373,IGABOM_02860,
group_3170,,Lipoprotein,JLGHJK_00046,IGABOM_02494,
rimP,rimP,Ribosome maturation factor RimP,JLGHJK_02415,IGABOM_01708,
group_3164,,Integral membrane protein,JLGHJK_01770,IGABOM_01159,
sarZ,sarZ,HTH-type transcriptional regulator SarZ,JLGHJK_01738,IGABOM_01131,
group_3163,,S-ribosylhomocysteine lyase,JLGHJK_01185,IGABOM_00658,
group_3151,,67-dimethyl-8-ribityllumazine synthase,JLGHJK_01815,IGABOM_01211,
group_3148,,Ribosomal RNA large subunit methyltransferase H,JLGHJK_00586,IGABOM_03107,
group_3140,,N5-carboxyaminoimidazole ribonucleotide mutase,JLGHJK_03163,IGABOM_02313,
group_3139,,Universal stress protein,JLGHJK_02806,IGABOM_01990,
greA,greA,Transcription elongation factor GreA,JLGHJK_01939,IGABOM_01294,
group_3138,,Cell division protein,JLGHJK_01907,IGABOM_01264,
group_3137,,N-acetyltransferase domain-containing protein,JLGHJK_00526,IGABOM_03050,
group_3136,,Ferric uptake regulator,JLGHJK_00248,IGABOM_02754,
nrdI,nrdI,Class Ib ribonucleoside-diphosphate reductase assembly flavoprotein NrdI,JLGHJK_03108,IGABOM_02268,
group_3129,marR,Transcription regulator MarR family,JLGHJK_02952,IGABOM_02128,
group_3128,comE,ComE operon protein 2,JLGHJK_02570,IGABOM_01785,
group_3127,,Sensory protein,JLGHJK_02085,IGABOM_01425,
group_3126,,hypothetical protein,JLGHJK_01324,IGABOM_00770,
group_3125,,HTH marR-type domain-containing protein,JLGHJK_01271,IGABOM_00724,
group_3124,,N-acetyltransferase domain-containing protein,JLGHJK_00829,IGABOM_00188,
group_3123,,Glutathione peroxidase,JLGHJK_00733,IGABOM_00102,
group_3122,,Teichoic acid glycosylation protein,JLGHJK_00103,IGABOM_02537,
group_3116,,hypothetical protein,JLGHJK_03215,IGABOM_02363,
group_3114,,Bacterial type II secretion/trafficking system protein,JLGHJK_02709,IGABOM_01906,
group_3101,,CBS domain-containing protein,JLGHJK_02731,IGABOM_01924,
group_3100,,Phosphopantetheine adenylyltransferase,JLGHJK_02573,IGABOM_01788,
group_3099,,Dihydrofolate reductase,JLGHJK_02253,IGABOM_01564,
group_3097,nusG,NusG domain-containing protein,JLGHJK_01484,IGABOM_00907,
group_3096,,hypothetical protein,JLGHJK_01306,IGABOM_00754,
group_3095,,Alcohol dehydrogenase,JLGHJK_00676,IGABOM_03195,
group_3087,,MutT/NUdiX family protein,JLGHJK_02178,IGABOM_01504,
group_3077,,Phosphinothricin N-acetyltransferase,JLGHJK_00196,IGABOM_02702,
group_3070,,Methylated-DNA--protein-cysteine methyltransferase,JLGHJK_03272,IGABOM_02414,
group_3069,,Phosphohydrolase,JLGHJK_03183,IGABOM_02334,
group_3068,,ABM domain-containing protein,JLGHJK_02669,IGABOM_01867,
group_3067,uspA,Nucleotide-binding protein universal stress protein UspA family,JLGHJK_02128,IGABOM_01462,
group_3066,,DUF5590 domain-containing protein,JLGHJK_02120,IGABOM_01454,
group_3065,,HotDog ACOT-type domain-containing protein,JLGHJK_02064,IGABOM_01409,
group_3064,,Translation initiation factor IF-3,JLGHJK_01894,IGABOM_01254,
group_3063,,Phosphatidylglycerophosphatase,JLGHJK_00334,IGABOM_02830,
group_3053,,Periplasmic secreted protein,JLGHJK_03251,IGABOM_02393,
group_3052,,DUF1694 domain-containing protein,JLGHJK_03245,IGABOM_02389,
group_3051,,Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase,JLGHJK_03097,IGABOM_02259,
group_3048,,Large ribosomal subunit protein uL10,JLGHJK_01088,IGABOM_00496,
group_3047,marR,Transcription regulator MarR family,JLGHJK_00393,IGABOM_02877,
group_3038,,Integral membrane protein,JLGHJK_03238,IGABOM_02384,
group_3037,,Integral membrane protein,JLGHJK_03081,IGABOM_02242,
group_3036,,Secreted protein,JLGHJK_02595,IGABOM_01804,
group_3035,,N-acetyltransferase domain-containing protein,JLGHJK_02040,IGABOM_01386,
group_3034,,tRNA-specific adenosine deaminase,JLGHJK_01100,IGABOM_00576,
queT,queT,QueT transporter family protein,JLGHJK_00996,IGABOM_00354,
group_3033,,Imm-5-like domain-containing protein,JLGHJK_00345,IGABOM_02838,
group_3021,,Small molecule binding protein,JLGHJK_03201,IGABOM_02349,
group_3020,,HD superfamily metal-dependent phosphohydrolase,JLGHJK_01933,IGABOM_01288,
group_3018,,Phospholipid-binding protein,JLGHJK_00867,IGABOM_00223,
group_3011,,hypothetical protein,JLGHJK_02724,IGABOM_01919,
group_3010,,Putative tRNA (cytidine(34)-2'-O)-methyltransferase,JLGHJK_02646,IGABOM_01847,
group_3008,,hypothetical protein,JLGHJK_01739,IGABOM_01133,
group_3007,,VanZ-like domain-containing protein,JLGHJK_01265,IGABOM_00717,
group_3006,marR,Transcription regulator MarR family,JLGHJK_01230,IGABOM_00697,
group_3005,,Integral membrane protein,JLGHJK_00684,IGABOM_03201,
group_3004,,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase,JLGHJK_00298,IGABOM_02797,
msrA,msrA,Peptide methionine sulfoxide reductase MsrA,JLGHJK_02224,IGABOM_01537,
nrdR,nrdR,Transcriptional repressor NrdR,JLGHJK_01890,IGABOM_01250,
group_2996,,hypothetical protein,JLGHJK_01294,IGABOM_00743,
group_2994,,N-acetyltransferase domain-containing protein,JLGHJK_01223,IGABOM_00691,
group_2993,,VanZ-like domain-containing protein,JLGHJK_00309,IGABOM_02807,
group_2980,mreD,Cell shape determining protein MreD,JLGHJK_02774,IGABOM_01963,
group_2979,,Phosphoesterase,JLGHJK_02732,IGABOM_01925,
group_2978,,Adenine phosphoribosyltransferase,JLGHJK_02518,IGABOM_01746,
group_2977,,N-acetyltransferase domain-containing protein,JLGHJK_01680,IGABOM_01083,
group_2976,,putative membrane transporter protein,JLGHJK_01317,IGABOM_00763,
group_2975,,O-acetyl-ADP-ribose deacetylase,JLGHJK_00383,IGABOM_02869,
group_2970,,Shikimate kinase,JLGHJK_02400,IGABOM_01697,
group_2969,,Teichoic acid glycosylation protein,JLGHJK_01748,IGABOM_01142,
group_2954,,DUF1836 domain-containing protein,JLGHJK_03101,IGABOM_02263,
group_2953,pyrR,Bifunctional protein PyrR,JLGHJK_02167,IGABOM_01493,
rimM,rimM,Ribosome maturation factor RimM,JLGHJK_02018,IGABOM_01366,
group_2951,,Transcription regulator Rrf2 family,JLGHJK_01430,IGABOM_00856,
group_2947,,Protease synthase and sporulation negative regulatory protein pai 1,JLGHJK_02211,IGABOM_01529,
group_2946,,Acetyltransferase GNAT family,JLGHJK_00830,IGABOM_00189,
group_2944,,hypothetical protein,JLGHJK_00020,IGABOM_02474,
group_2939,yigB,5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YigB,JLGHJK_01908,IGABOM_01265,
group_2925,,hypothetical protein,JLGHJK_02300,IGABOM_01602,
group_2924,,Integral membrane protein,JLGHJK_00300,IGABOM_02799,
group_2915,,Large ribosomal subunit protein uL6,JLGHJK_01469,IGABOM_00893,
group_2914,,DNA polymerase III subunit epsilon,JLGHJK_01224,IGABOM_00692,
group_2913,,Integral membrane protein,JLGHJK_01188,IGABOM_00661,
padC,padC,Phenolic acid decarboxylase PadC,JLGHJK_00524,IGABOM_03048,
group_2903,,Dihydrofolate reductase,JLGHJK_03256,IGABOM_02398,
group_2902,,2-deoxyuridine 5-triphosphate nucleotidohydrolase (dUTPase),JLGHJK_01959,IGABOM_01314,
group_2901,,RNA binding protein,JLGHJK_01006,IGABOM_00364,
pyrR,pyrR,Bifunctional protein PyrR,JLGHJK_03139,IGABOM_02294,
hslV,hslV,ATP-dependent protease subunit HslV,JLGHJK_02234,IGABOM_01546,
group_2891,,Hypoxanthine-guanine phosphoribosyltransferase,JLGHJK_01008,IGABOM_00367,
group_2890,,HTH cro/C1-type domain-containing protein,JLGHJK_00827,IGABOM_00186,
group_2878,,hypothetical protein,JLGHJK_02830,IGABOM_02012,
group_2877,,[ribosomal protein uS5]-alanine N-acetyltransferase,JLGHJK_01429,IGABOM_00855,
amaP,amaP,Alkaline shock response membrane anchor protein AmaP,JLGHJK_01350,IGABOM_00796,
group_2876,,hypothetical protein,JLGHJK_01122,IGABOM_00604,
group_2875,padR,Transcriptional regulator of phenolic acid metabolism PadR family,JLGHJK_00523,IGABOM_03047,
group_2866,,Nucleoside triphosphate/diphosphate phosphatase,JLGHJK_01621,IGABOM_01027,
group_2865,,Sigma-70 family RNA polymerase sigma factor,JLGHJK_01617,IGABOM_01024,
group_2864,,UPF0316 protein lp_1140,JLGHJK_01565,IGABOM_00968,
nusG,nusG,Transcription termination/antitermination protein NusG,JLGHJK_01084,IGABOM_00492,
group_2862,,NYN domain-containing protein,JLGHJK_01080,IGABOM_00488,
group_2861,,FMN-dependent NADPH-azoreductase,JLGHJK_00754,IGABOM_00124,
group_2860,,Folate transporter,JLGHJK_00497,IGABOM_03010,
group_2859,,DNA-3-methyladenine glycosylase I,JLGHJK_00293,IGABOM_02792,
group_2858,,hypothetical protein,JLGHJK_00044,IGABOM_02492,
group_2845,,Integral membrane protein,JLGHJK_03254,IGABOM_02396,
group_2844,,4'-phosphopantetheinyl transferase psf-1,JLGHJK_02061,IGABOM_01406,
group_2843,,N-acetyltransferase domain-containing protein,JLGHJK_00252,IGABOM_02758,
group_2842,,NADPH-dependent FMN reductase family protein,JLGHJK_00245,IGABOM_02751,
pncA,pncA,Uncharacterized isochorismatase family protein PncA,JLGHJK_03062,IGABOM_02224,
group_2832,,Ribosomal protein serine-acetylating enzyme,JLGHJK_02824,IGABOM_02006,
group_2831,,ADP-ribose pyrophosphatase,JLGHJK_02618,IGABOM_01827,
group_2830,,Nucleic acid-binding protein,JLGHJK_01916,IGABOM_01273,
group_2829,,hypothetical protein,JLGHJK_01204,IGABOM_00677,
group_2828,,Extracellular protein,JLGHJK_00749,IGABOM_00120,
group_2827,,DUF4352 domain-containing protein,JLGHJK_00190,IGABOM_02696,
group_2819,,Ribosomal protein serine-acetylating enzyme,JLGHJK_03265,IGABOM_02407,
group_2817,,Elongation factor P 2,JLGHJK_01970,IGABOM_01326,
group_2815,,Peptidyl-tRNA hydrolase,JLGHJK_01000,IGABOM_00358,
group_2803,,Nitroreductase family 1 protein,JLGHJK_03050,IGABOM_02214,
group_2802,,Integral membrane protein,JLGHJK_02980,IGABOM_02152,
group_2800,,Peptide deformylase,JLGHJK_02594,IGABOM_01803,
group_2798,tetR,Transcription regulator TetR family,JLGHJK_01318,IGABOM_00764,
group_2797,lemA,Protein LemA,JLGHJK_00967,IGABOM_00334,
group_2796,,UPF0397 protein lp_0150,JLGHJK_00670,IGABOM_03190,
rsmD,rsmD,16S rRNA (Guanine(966)-N(2))-methyltransferase RsmD,JLGHJK_02574,IGABOM_01789,
group_2783,,Ribosome-recycling factor,JLGHJK_02421,IGABOM_01714,
group_2782,,EF-hand domain-containing protein,JLGHJK_01819,IGABOM_01213,
group_2781,yxjI,YxjI,JLGHJK_01216,IGABOM_00686,
group_2780,,DNA-directed RNA polymerase sigma-H factor,JLGHJK_01081,IGABOM_00489,
group_2779,,Ribonuclease M5,JLGHJK_00925,IGABOM_00302,
group_2778,,Extracellular zinc metalloproteinase M10 family,JLGHJK_00863,IGABOM_00219,
group_2777,,DNA-3-methyladenine glycosylase I,JLGHJK_00803,IGABOM_00161,
group_2766,,ADP-ribose pyrophosphatase,JLGHJK_03194,IGABOM_02343,
group_2765,,5-formyltetrahydrofolate cyclo-ligase,JLGHJK_01946,IGABOM_01301,
group_2763,,Ribosome hibernation promotion factor,JLGHJK_01140,IGABOM_00618,
group_2762,,Biotin transporter,JLGHJK_00846,IGABOM_00202,
group_2761,,Cadmium resistance transporter family protein,JLGHJK_00110,IGABOM_02544,
group_2758,,Acetyltransferase,JLGHJK_03302,IGABOM_02455,
group_2756,,UPF0398 protein PEPE_0933,JLGHJK_02136,IGABOM_01469,
group_2755,,Heptaprenyl diphosphate synthase component I,JLGHJK_01483,IGABOM_00906,
group_2754,,N-acetyltransferase domain-containing protein,JLGHJK_01405,IGABOM_00832,
group_2753,,ABC transporter permease,JLGHJK_00732,IGABOM_00101,
group_2752,,GTP cyclohydrolase 1,JLGHJK_00297,IGABOM_02796,
group_2744,,Biotin carboxyl carrier protein of acetyl-CoA carboxylase,JLGHJK_00872,IGABOM_00227,
group_2743,tetR,Transcription regulator TetR family,JLGHJK_00801,IGABOM_00159,
group_2742,cscB,Cell surface protein CscB family,JLGHJK_00431,IGABOM_02908,
group_2741,tetR,Transcription regulator TetR family,JLGHJK_00384,IGABOM_02870,
group_2730,,Transcriptional regulator,JLGHJK_01576,IGABOM_00978,
group_2729,,Cytokinin riboside 5'-monophosphate phosphoribohydrolase,JLGHJK_01094,IGABOM_00571,
group_2728,,Zinc ribbon domain-containing protein,JLGHJK_00220,IGABOM_02726,
group_2713,,Thiamine transporter protein,JLGHJK_01549,IGABOM_00955,
group_2712,,Guanylate kinase,JLGHJK_01292,IGABOM_00741,
group_2705,,Imidazoleglycerol-phosphate dehydratase,JLGHJK_03027,IGABOM_02189,
group_2704,,Peptidyl-prolyl cis-trans isomerase,JLGHJK_02697,IGABOM_01895,
group_2703,,PepSY domain-containing protein,JLGHJK_01917,IGABOM_01274,
group_2691,,hypothetical protein,JLGHJK_02996,IGABOM_02165,
group_2690,,Thymidine kinase,JLGHJK_02843,IGABOM_02022,
group_2689,,Xanthine phosphoribosyltransferase,JLGHJK_01564,IGABOM_00967,
group_2688,,Signal peptidase I,JLGHJK_00530,IGABOM_03055,
cscD,cscD,Cell surface protein CscD familyLPXTG-motif cell wall anchor,JLGHJK_00433,IGABOM_02910,
group_2683,,ATP-dependent Clp protease proteolytic subunit,JLGHJK_01194,IGABOM_00667,
engB,engB,putative GTP-binding protein EngB,JLGHJK_02553,IGABOM_01773,
group_2673,,hypothetical protein,JLGHJK_00288,IGABOM_02788,
group_2671,,Pyrroline-5-carboxylate reductase catalytic N-terminal domain-containing protein,JLGHJK_00003,IGABOM_02458,
group_2664,,NAD(P)-binding domain-containing protein,JLGHJK_03297,IGABOM_02435,
group_2663,,Putative AgrB-like protein,JLGHJK_00505,IGABOM_03018,
group_2647,,Segregation and condensation protein B,JLGHJK_02275,IGABOM_01581,
group_2646,,histidine phosphatase family protein,JLGHJK_02172,IGABOM_01497,
recR,recR,Recombination protein RecR,JLGHJK_01104,IGABOM_00580,
group_2637,tetR,Transcription regulator TetR family,JLGHJK_01446,IGABOM_00871,
group_2636,,hypothetical protein,JLGHJK_01297,IGABOM_00746,
group_2635,,NADPH-dependent FMN reductase family protein,JLGHJK_00651,IGABOM_03173,
group_2634,,Single-stranded DNA-binding protein,JLGHJK_00552,IGABOM_03075,
yvfU,yvfU,Uncharacterized transcriptional regulatory protein YvfU,JLGHJK_02327,IGABOM_01637,
group_2623,,Phosphohydrolase MutT/nudix family,JLGHJK_02315,IGABOM_01614,
group_2617,,NADPH-dependent FMN reductase-like domain-containing protein,JLGHJK_03165,IGABOM_02315,
group_2616,,Small ribosomal subunit protein uS4,JLGHJK_02789,IGABOM_01975,
group_2615,,Peroxiredoxin,JLGHJK_02783,IGABOM_01969,
group_2614,,Calcineurin-like phosphoesterase domain-containing protein,JLGHJK_02704,IGABOM_01901,
grpE,grpE,Protein GrpE,JLGHJK_02394,IGABOM_01692,
group_2613,,Anthranilate synthase amidotransferase component,JLGHJK_02030,IGABOM_01378,
group_2612,,Phage protein,JLGHJK_01731,IGABOM_01125,
group_2611,,hypothetical protein,JLGHJK_00949,IGABOM_00321,
ruvA,ruvA,Holliday junction branch migration complex subunit RuvA,JLGHJK_02750,IGABOM_01943,
group_2606,erfK,Cell surface protein ErfK family,JLGHJK_01783,IGABOM_01170,
group_2600,,NADPH-dependent FMN reductase-like domain-containing protein,JLGHJK_01800,IGABOM_01185,
group_2599,,Peptidoglycan-binding protein,JLGHJK_00125,IGABOM_02558,
group_2594,,Resolvase/invertase-type recombinase catalytic domain-containing protein,,IGABOM_00046,PHDJFC_03015
group_2593,,Signal peptidase I,JLGHJK_03287,IGABOM_02427,
group_2592,,bis(5'-nucleosyl)-tetraphosphatase (symmetrical),JLGHJK_01912,IGABOM_01269,
group_2589,,Acetyltransferase,JLGHJK_03286,IGABOM_02426,
group_2588,,Guanylate kinase,JLGHJK_01987,IGABOM_01341,
group_2587,tetR,Transcription regulator TetR family,JLGHJK_00072,IGABOM_02514,
recU,recU,Holliday junction resolvase RecU,JLGHJK_02135,IGABOM_01468,
group_2578,,Adenylyl-sulfate kinase,JLGHJK_01755,IGABOM_01148,
group_2577,,Phosphoglycerate mutase family protein,JLGHJK_00716,IGABOM_00088,
hisH,hisH,Imidazole glycerol phosphate synthase subunit HisH,JLGHJK_03026,IGABOM_02188,
group_2572,,DUF1648 domain-containing protein,JLGHJK_02792,IGABOM_01978,
group_2571,,UPF0637 protein lp_2332,JLGHJK_02790,IGABOM_01976,
group_2570,,Glycerol-3-phosphate acyltransferase,JLGHJK_02230,IGABOM_01543,
group_2569,,N-(5'-phosphoribosyl)anthranilate isomerase,JLGHJK_02033,IGABOM_01381,
group_2568,tetR,Transcription regulator TetR family,JLGHJK_01821,IGABOM_01215,
group_2557,,Uracil phosphoribosyltransferase,JLGHJK_02836,IGABOM_02017,
group_2556,,DUF1027 domain-containing protein,JLGHJK_02702,IGABOM_01899,
group_2555,,ABC transmembrane type-1 domain-containing protein,JLGHJK_01983,IGABOM_01337,
group_2554,tetR,Transcription regulator TetR family,JLGHJK_01965,IGABOM_01321,
group_2553,,Uridine kinase,JLGHJK_01938,IGABOM_01293,
lexA,lexA,LexA repressor,JLGHJK_02433,IGABOM_01725,
group_2542,lysM,LysM domain-containing protein,JLGHJK_02267,IGABOM_01576,
